# Program:featureCounts v1.5.0-p1; Command:"featureCounts" "-T" "1" "--minOverlap" "1" "-D" "600" "-d" "50" "-g" "gene_id" "-t" "exon" "-F" "GTF" "-S" "fr" "-s" "2" "-o" "counts.txt" "-a" "/tmp/tmpHTk84S/stgdc4c2f59-9695-4a36-9890-6624f143a433/hg19.gencode_v19.chr21.gtf" "/tmp/tmpHTk84S/stgb8806063-f72c-4b67-b98c-072129176f32/chr21_1.bam" "/tmp/tmpHTk84S/stg7a8f0c97-8c34-4b8c-bd07-1e9c8b2f4929/chr21_2.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/tmpHTk84S/stgb8806063-f72c-4b67-b98c-072129176f32/chr21_1.bam	/tmp/tmpHTk84S/stg7a8f0c97-8c34-4b8c-bd07-1e9c8b2f4929/chr21_2.bam
ENSG00000156256.10	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	30396950;30398030;30400194;30402916;30407158;30408592;30409597;30410656;30411347;30411802;30412930;30414334;30414793;30415744;30418988;30421082;30422413;30426123;30426387	30397098;30398092;30400295;30403094;30407261;30408695;30409784;30410751;30411477;30411889;30413008;30414425;30414849;30415920;30419642;30421176;30422499;30426279;30426809	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3026	804	718
ENSG00000156261.8	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	30428645;30432862;30433574;30433817;30434449;30434649;30434811;30435673;30437289;30439037;30439212;30439877;30441744;30442568;30444273;30445581;30445827	30428873;30432981;30433738;30433888;30434564;30434736;30434877;30435851;30437426;30439098;30439392;30440026;30441823;30442658;30444309;30445672;30446118	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2159	2351	1757
ENSG00000231125.2	chr21;chr21	30430394;30431743	30430513;30432416	-;-	794	1	2
ENSG00000156265.11	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	30449792;30452873;30457393;30458134;30463822;30463989;30464575;30481361;30502806;30503282;30505627;30521510;30532262;30547033	30450034;30453029;30457464;30458238;30463897;30464082;30464902;30482112;30503244;30503371;30505735;30521571;30532377;30548210	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3821	56	48
ENSG00000201984.1	chr21	30511604	30511705	-	102	0	0
ENSG00000212479.1	chr21	30552747	30552960	-	214	0	0
ENSG00000224649.1	chr21;chr21	30554348;30559994	30554551;30560116	-;-	327	0	0
ENSG00000215533.4	chr21;chr21	30565815;30660305	30566581;30660526	+;+	989	3	1
ENSG00000156273.11	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	30671192;30671737;30693542;30698380;30701808;30714720;30968360;30969890;31002859	30671274;30671919;30693835;30699714;30702014;30718469;30969098;30970014;31003067	+;+;+;+;+;+;+;+;+	6925	1124	1124
ENSG00000248476.1	chr21;chr21;chr21;chr21	30723955;30724900;30733352;30733873	30724134;30724984;30733564;30734215	+;+;+;+	821	6	7
ENSG00000273017.1	chr21	30731323	30731774	+	452	1	3
ENSG00000232118.1	chr21;chr21	30742340;30743409	30742441;30743547	-;-	241	0	0
ENSG00000228817.3	chr21;chr21;chr21	30743268;30744755;30745562	30743476;30744883;30746029	+;+;+	806	1	0
ENSG00000239171.1	chr21	30761707	30761810	-	104	0	0
ENSG00000234293.1	chr21;chr21	30868367;30872493	30868558;30872706	+;+	406	0	0
ENSG00000171189.12	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	30909254;30910027;30910119;30925573;30927373;30933945;30949284;30953745;30959686;30961159;30963432;30968846;30971114;30973548;31015142;31023438;31027130;31045303;31062048;31066215;31311701	30909706;30910099;30910205;30926025;30927623;30934170;30949501;30953863;30959909;30961362;30963545;30968890;30971257;30973549;31015289;31023611;31027183;31045484;31062305;31066382;31312351	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4248	1	1
ENSG00000183653.4	chr21;chr21;chr21	30968360;30969890;31002859	30969098;30970014;31003067	+;+;+	1073	0	0
ENSG00000273464.1	chr21	31029726	31030151	+	426	2	3
ENSG00000174680.5	chr21;chr21;chr21;chr21;chr21;chr21;chr21	31120494;31121153;31131150;31132339;31132713;31133576;31135897	31120619;31121464;31131333;31132384;31132786;31133738;31136321	+;+;+;+;+;+;+	1330	2	2
ENSG00000259981.1	chr21;chr21	31462035;31469986	31462309;31470154	+;+	444	0	0
ENSG00000156282.3	chr21	31538241	31538971	-	731	0	0
ENSG00000227342.1	chr21;chr21;chr21	31581469;31582056;31584052	31581654;31582243;31584101	-;-;-	424	0	0
ENSG00000156284.4	chr21	31586324	31588391	-	2068	0	0
ENSG00000188694.4	chr21	31653629	31655276	-	1648	0	0
ENSG00000232263.1	chr21	31661463	31661832	-	370	0	0
ENSG00000197683.3	chr21	31691452	31692607	-	1156	0	0
ENSG00000206107.2	chr21	31709331	31710012	-	682	0	0
ENSG00000186980.5	chr21	31720717	31720924	-	208	0	0
ENSG00000182816.6	chr21	31743709	31744557	-	849	0	0
ENSG00000265007.1	chr21	31747612	31747696	-	85	0	0
ENSG00000198390.3	chr21	31768392	31769136	+	745	0	0
ENSG00000240432.3	chr21	31797583	31798286	-	704	0	0
ENSG00000186971.2	chr21	31802572	31803216	+	645	0	0
ENSG00000186970.3	chr21	31812597	31813070	+	474	0	0
ENSG00000184351.7	chr21	31852018	31852663	-	646	0	0
ENSG00000186965.3	chr21	31859362	31859755	-	394	0	0
ENSG00000244025.2	chr21	31863782	31864275	-	494	0	0
ENSG00000186967.6	chr21	31869142	31869451	-	310	0	0
ENSG00000186977.2	chr21	31873975	31874435	-	461	0	0
ENSG00000186925.6	chr21	31913854	31914183	-	330	0	0
ENSG00000244362.1	chr21	31933194	31933633	-	440	0	0
ENSG00000206106.2	chr21	31962424	31962716	-	293	0	0
ENSG00000212938.3	chr21	31964759	31965394	+	636	0	0
ENSG00000186930.3	chr21	31970909	31971219	-	311	0	0
ENSG00000186924.2	chr21	31973414	31973612	+	199	0	0
ENSG00000184724.5	chr21	31985750	31986249	-	500	0	0
ENSG00000244624.2	chr21	31988750	31989003	+	254	0	0
ENSG00000206105.2	chr21	31992946	31993169	+	224	0	0
ENSG00000184032.2	chr21	32007555	32007938	+	384	0	0
ENSG00000206104.2	chr21	32015183	32015455	+	273	0	0
ENSG00000231068.1	chr21	32090843	32091095	-	253	0	0
ENSG00000187026.2	chr21	32119112	32119551	-	440	0	0
ENSG00000187005.3	chr21	32127439	32127746	-	308	0	0
ENSG00000183640.4	chr21	32185016	32185570	-	555	0	0
ENSG00000184586.4	chr21	32201357	32202078	-	722	0	0
ENSG00000182591.4	chr21	32252966	32253874	-	909	0	0
ENSG00000206102.2	chr21	32410478	32410795	-	318	0	0
ENSG00000156299.8	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	32490734;32496840;32499383;32502531;32503208;32508251;32513436;32513643;32519213;32524954;32525384;32526565;32537279;32554738;32559317;32567540;32575224;32582361;32584947;32589869;32595722;32598042;32617804;32624058;32638326;32649048;32711558;32836296;32931240;32932232	32493155;32497012;32499470;32502633;32503266;32508359;32513554;32513822;32519321;32525079;32525452;32526744;32537382;32554962;32559403;32567621;32575328;32582531;32585788;32590015;32595907;32598266;32617976;32624505;32639299;32649224;32711737;32836348;32931290;32932290	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8026	158	99
ENSG00000237594.2	chr21;chr21	32931558;32932330	32931908;32932800	+;+	822	2	2
ENSG00000234509.1	chr21;chr21;chr21	33025906;33030247;33031710	33027740;33030540;33031813	-;-;-	2233	0	0
ENSG00000142168.10	chr21;chr21;chr21;chr21;chr21	33031935;33036103;33038762;33039571;33040784	33033021;33036199;33038831;33039688;33041244	+;+;+;+;+	1833	1870	1797
ENSG00000238390.1	chr21	33036619	33036795	+	177	2	1
ENSG00000273271.1	chr21	33039041	33039560	-	520	6	5
ENSG00000156304.10	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	33043346;33057362;33057711;33057881;33060620;33063110;33064130;33064662;33065607;33066517;33067126;33068426;33068882;33073308;33074089;33074557;33076078;33077736;33078587;33103976	33044667;33057553;33057797;33058046;33060777;33063266;33064243;33064762;33065797;33066602;33067293;33068534;33069063;33073484;33074231;33074692;33076239;33077780;33078670;33104388	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4193	466	368
ENSG00000273091.1	chr21	33108045	33108720	+	676	0	0
ENSG00000142149.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	33245628;33296780;33312477;33318348;33331155;33340562;33346490;33355839;33362442;33368081;33370839	33246248;33297072;33312532;33318483;33331282;33340697;33347029;33355922;33362489;33368261;33376377	+;+;+;+;+;+;+;+;+;+;+	7762	56	45
ENSG00000237138.1	chr21;chr21	33393279;33393793	33393591;33394095	-;-	616	0	0
ENSG00000230323.1	chr21;chr21;chr21	33452629;33455787;33458517	33452830;33455930;33458608	-;-;-	438	0	0
ENSG00000264055.1	chr21	33524217	33524320	+	104	0	0
ENSG00000261610.1	chr21	33632115	33633896	-	1782	1	0
ENSG00000159055.3	chr21;chr21;chr21;chr21;chr21	33640530;33641919;33642718;33647141;33650992	33641428;33642114;33642889;33647207;33651380	-;-;-;-;-	1723	111	109
ENSG00000227256.1	chr21;chr21;chr21	33650174;33650692;33652904	33650395;33650842;33653299	+;+;+	769	0	0
ENSG00000170262.8	chr21;chr21;chr21;chr21;chr21;chr21	33664124;33665304;33671161;33678951;33683995;33686862	33664160;33665443;33671388;33679050;33684601;33687095	+;+;+;+;+;+	1346	0	1
ENSG00000232623.1	chr21;chr21	33678775;33680830	33679137;33681048	-;-	582	0	1
ENSG00000142207.5	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	33683329;33688777;33689987;33691527;33692841;33694111;33694788;33696801;33697539;33705626;33706472;33707515;33709403;33709713;33711016;33713775;33716879;33717683;33719265;33721613;33723013;33725019;33726242;33727168;33727758;33729846;33732105;33733316;33734201;33735465;33738927;33740712;33744816;33745956;33747707;33750754;33755731;33756622;33757854;33765078	33687410;33689376;33690228;33691724;33692950;33694254;33694894;33696912;33697699;33705728;33706643;33707939;33709466;33709823;33711209;33713833;33717065;33717884;33720120;33721792;33723231;33725215;33726412;33727306;33727874;33729965;33732217;33733432;33734330;33735638;33739064;33740907;33744940;33746081;33747792;33750850;33755863;33756773;33757993;33765335	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	11257	488	310
ENSG00000242871.2	chr21	33714826	33715062	-	237	0	0
ENSG00000200792.1	chr21	33749496	33749631	-	136	0	0
ENSG00000256073.2	chr21	33765439	33766254	+	816	28	9
ENSG00000166979.8	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	33784689;33825620;33829905;33840004;33867337;33873725;33876236;33887124	33785321;33825816;33830028;33840156;33867480;33873805;33876325;33887707	+;+;+;+;+;+;+;+	2006	59	33
ENSG00000252045.1	chr21	33910609	33910744	+	136	0	0
ENSG00000252950.1	chr21	33935385	33935520	+	136	0	0
ENSG00000186842.4	chr21;chr21;chr21;chr21	33944548;33945594;33946406;33946886	33944905;33945678;33946434;33948191	-;-;-;-	1778	1	0
ENSG00000242220.2	chr21;chr21;chr21;chr21;chr21	33948862;33951004;33954510;33956471;33957731	33949233;33951141;33954725;33956615;33957843	-;-;-;-;-	984	0	1
ENSG00000265590.5	chr21;chr21;chr21;chr21;chr21;chr21;chr21	33951133;33954510;33975471;33976435;33979959;33982148;33984415	33951141;33954725;33975602;33976593;33980026;33982315;33984591	-;-;-;-;-;-;-	929	0	0
ENSG00000159079.14	chr21;chr21;chr21;chr21;chr21	33973977;33976435;33979959;33982148;33984415	33975602;33976593;33980026;33982315;33985176	-;-;-;-;-	2783	151	129
ENSG00000159082.13	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34001069;34007171;34011218;34011981;34014206;34014405;34015720;34017278;34017956;34018703;34022494;34025598;34028997;34029313;34030026;34030781;34037223;34038253;34038743;34042598;34045650;34048642;34050955;34053806;34056348;34058058;34059288;34060616;34066538;34067367;34072148;34074271;34099083;34100148;34100257	34004111;34007194;34011435;34012089;34014276;34014443;34015767;34017316;34018099;34018912;34022656;34025676;34029212;34029430;34030182;34030871;34037381;34038445;34038883;34042682;34045841;34048665;34051120;34053958;34056429;34058227;34059384;34060677;34066621;34067592;34072415;34074357;34099228;34100250;34100359	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7310	265	247
ENSG00000238197.1	chr21;chr21;chr21;chr21;chr21;chr21	34100426;34104830;34105900;34109684;34110583;34114573	34102972;34105227;34105968;34109784;34110652;34115433	+;+;+;+;+;+	4046	8	10
ENSG00000159086.10	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34106210;34109565;34110484;34113704;34115559;34115989;34117103;34117885;34120810;34123228;34123430;34127541;34128653;34131391;34132088;34133370;34134407;34136659;34142125;34143637	34107378;34109719;34110630;34113933;34115625;34116065;34117224;34118029;34121009;34123343;34123529;34127664;34128679;34131580;34132305;34133473;34134628;34136835;34142253;34144169	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4252	430	332
ENSG00000205930.4	chr21;chr21;chr21;chr21;chr21	34144411;34157108;34160923;34169249;34224059	34144631;34157230;34161012;34171279;34224779	+;+;+;+;+	3186	14	4
ENSG00000205929.5	chr21;chr21;chr21;chr21	34162985;34179952;34182884;34185902	34166796;34180028;34182964;34186053	-;-;-;-	4122	17	7
ENSG00000207098.1	chr21	34214171	34214305	-	135	0	0
ENSG00000232360.1	chr21;chr21	34216677;34222205	34217020;34222244	-;-	384	0	0
ENSG00000227757.1	chr21;chr21	34285957;34443210	34286437;34443410	-;-	682	0	0
ENSG00000228961.1	chr21;chr21	34331196;34332501	34331397;34332874	+;+	576	0	0
ENSG00000205927.4	chr21	34398153	34401504	+	3352	0	1
ENSG00000232539.1	chr21;chr21;chr21;chr21;chr21	34430135;34430407;34435098;34436582;34436909	34430204;34430510;34435122;34436754;34437289	+;+;+;+;+	753	0	0
ENSG00000184221.8	chr21	34442450	34444726	+	2277	3	3
ENSG00000226527.1	chr21;chr21;chr21	34484005;34486692;34495918	34485035;34486929;34496009	-;-;-	1361	0	0
ENSG00000226433.1	chr21;chr21	34528938;34531082	34529051;34531416	+;+	449	0	0
ENSG00000229086.3	chr21;chr21;chr21;chr21	34537776;34540748;34542001;34542446	34537997;34540886;34542138;34542541	-;-;-;-	595	0	0
ENSG00000159110.15	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34602206;34614145;34615978;34617256;34619023;34621014;34624967;34632902;34634866	34602521;34614282;34616019;34617379;34619195;34621159;34625135;34633032;34637980	+;+;+;+;+;+;+;+;+	4354	858	765
ENSG00000249624.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21	34619079;34621014;34624967;34640699;34648901;34652057;34655399	34619195;34621159;34625135;34640822;34649058;34652223;34655517	+;+;+;+;+;+;+	1000	0	0
ENSG00000223799.1	chr21;chr21	34636178;34638368	34638207;34638565	-;-	2228	7	18
ENSG00000243646.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21	34638663;34640699;34648901;34652057;34655399;34660409;34668489	34638819;34640822;34649058;34652223;34655546;34660566;34669539	+;+;+;+;+;+;+	1963	520	479
ENSG00000272659.1	chr21	34681796	34682486	+	691	1	1
ENSG00000142166.8	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34696734;34697209;34707830;34713305;34715574;34715841;34717552;34721397;34721695;34725064;34725944;34727622	34696943;34697436;34707953;34713480;34715728;34715982;34717666;34721596;34721849;34725214;34726089;34732168	+;+;+;+;+;+;+;+;+;+;+;+	6349	1407	1317
ENSG00000159128.10	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34775202;34783142;34787195;34793787;34799191;34804484;34805021;34809135	34775922;34783198;34787327;34793992;34799339;34804643;34805178;34809828	+;+;+;+;+;+;+;+	2278	1628	1427
ENSG00000142188.12	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34809191;34811521;34819325;34821089;34828034;34832720;34837649;34839317;34841094;34852145	34809299;34811604;34819447;34823170;34828091;34832812;34837716;34839429;34841233;34852318	-;-;-;-;-;-;-;-;-;-	3044	549	487
ENSG00000266892.1	chr21	34836773	34836865	+	93	0	0
ENSG00000231355.1	chr21;chr21;chr21	34854806;34855313;34856044	34854895;34855366;34856565	-;-;-	666	0	0
ENSG00000177692.7	chr21;chr21	34860497;34863373	34861731;34864027	-;-	1890	6	7
ENSG00000159131.12	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34876238;34876719;34877868;34878281;34882090;34883559;34889296;34889664;34892671;34893213;34894495;34895359;34896316;34900473;34900825;34901156;34903016;34903795;34904651;34906885;34907531;34911477;34914371;34914893	34876622;34876834;34878009;34878411;34882227;34883765;34889448;34889915;34892869;34893322;34894589;34895411;34897307;34900641;34900910;34901243;34903190;34903863;34904762;34907059;34907626;34911662;34914444;34915167	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4478	1158	795
ENSG00000159140.13	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34914924;34918519;34921782;34929462;34929852;34931536;34931893;34932183;34939463;34941277;34944175;34944857;34945614;34947902;34948084;34948671	34915475;34918685;34927697;34929622;34931362;34931682;34932081;34932973;34939573;34941393;34944209;34944936;34945761;34947973;34948199;34949812	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	11255	4978	4125
ENSG00000159147.13	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34947783;34949842;34951656;34953608;34954257;34954471;34955794;34956896;34958284;34959828;34960627	34948114;34950750;34951868;34953806;34954361;34954552;34955972;34957074;34958487;34959908;34961014	-;-;-;-;-;-;-;-;-;-;-	2871	184	142
ENSG00000268265.1	chr21;chr21	34947431;34947631	34947451;34947645	-;-	36	0	1
ENSG00000249209.1	chr21;chr21;chr21;chr21;chr21	34956993;34958284;35279645;35281386;35284593	34957074;34958487;35279757;35281515;35284635	-;-;-;-;-	572	0	0
ENSG00000205758.7	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	34961647;34963468;34966813;34968037;34969586;34971456;34974540;34975710;34985844;34988593;34989012;34994302;34996989;35003792;35012051;35013485;35013987	34962227;34963534;34967920;34968142;34969707;34971554;34974651;34975843;34985912;34988909;34989056;34994374;34997066;35003863;35012494;35013611;35014224	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3792	173	115
ENSG00000205726.9	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	35014706;35091102;35093483;35094893;35107349;35122448;35124115;35126488;35127602;35129092;35134227;35138179;35140017;35144365;35147033;35147272;35153765;35154298;35166645;35169683;35172112;35174734;35183216;35183279;35186217;35189535;35190571;35191545;35195791;35199122;35201928;35206611;35208745;35209291;35229040;35230990;35237455;35239537;35247658;35254547;35255854;35257345;35257743;35258591;35260456	35015019;35091161;35093575;35094956;35107509;35122627;35124211;35126527;35127702;35129378;35134290;35138316;35140132;35144627;35147182;35147412;35153852;35154437;35166772;35169912;35172237;35174748;35183226;35183526;35186376;35189918;35190776;35191627;35195957;35199167;35202049;35206728;35208936;35210802;35229161;35231096;35237638;35239635;35247825;35254759;35255975;35257427;35257826;35258764;35272165	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	19311	481	407
ENSG00000241837.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	35275757;35276239;35279645;35281386;35284593;35286754;35287440;35288032	35275943;35276325;35279757;35281515;35284703;35286804;35288028;35288284	-;-;-;-;-;-;-;-	1521	570	488
ENSG00000237945.3	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	35287838;35288182;35289317;35295642;35296201;35303464;35310529;35315338;35315860;35315929;35316892;35318114;35321030;35321092;35323413;35334367;35339326;35341538	35288083;35288235;35289370;35295783;35296615;35304046;35310676;35315449;35315900;35316180;35317239;35318199;35321084;35321596;35323657;35336260;35339819;35349992	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	14129	155	78
ENSG00000244294.2	chr21	35291350	35291642	-	293	0	0
ENSG00000273102.1	chr21;chr21	35339403;35340534	35339652;35340874	-;-	591	0	1
ENSG00000243927.1	chr21;chr21;chr21;chr21	35445823;35496253;35497641;35514708	35446045;35497441;35497780;35515334	+;+;+;+	2179	275	216
ENSG00000272962.1	chr21;chr21	35445870;35467162	35446045;35478561	+;+	11576	0	0
ENSG00000198743.5	chr21;chr21	35445870;35467162	35446045;35478559	+;+	11574	0	0
ENSG00000272657.1	chr21;chr21;chr21;chr21;chr21;chr21	35445892;35497641;35587801;35635120;35665981;35732205	35446045;35497780;35587841;35635221;35666056;35732332	+;+;+;+;+;+	641	0	0
ENSG00000227456.3	chr21;chr21	35553049;35561069	35553094;35562220	+;+	1198	0	0
ENSG00000214955.5	chr21;chr21;chr21;chr21;chr21	35577356;35587801;35635120;35665981;35697036	35577625;35587841;35635238;35666056;35697334	+;+;+;+;+	805	0	0
ENSG00000266007.1	chr21	35677430	35677493	+	64	0	0
ENSG00000159197.3	chr21;chr21	35736323;35742766	35736450;35743688	+;+	1051	1	0
ENSG00000225555.1	chr21;chr21	35743101;35747536	35743459;35747647	-;-	471	1	0
ENSG00000205670.6	chr21;chr21;chr21;chr21;chr21;chr21;chr21	35747779;35747903;35751727;35757776;35760927;35772009;35774389	35747866;35748195;35751815;35757942;35761452;35772197;35775075	+;+;+;+;+;+;+	2039	99	81
ENSG00000222018.1	chr21	35772615	35773370	-	756	0	0
ENSG00000273104.1	chr21	35784498	35784885	+	388	0	0
ENSG00000243627.4	chr21;chr21	35791013;35796131	35791928;35796264	-;-	1050	1	0
ENSG00000272958.1	chr21	35797806	35798315	+	510	0	0
ENSG00000180509.7	chr21;chr21;chr21;chr21;chr21;chr21	35818988;35827684;35830952;35831827;35881754;35884325	35821982;35828039;35831062;35831902;35883613;35884573	-;-;-;-;-;-	5647	27	31
ENSG00000221398.1	chr21	35828408	35828535	-	128	0	0
ENSG00000159200.13	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	35888782;35893358;35895835;35897386;35898961;35932065;35986086;35986577;35987059	35890554;35893956;35896587;35897906;35899261;35932477;35986142;35986745;35987441	-;-;-;-;-;-;-;-;-	4969	1610	1408
ENSG00000159212.8	chr21;chr21;chr21;chr21;chr21;chr21;chr21	36041688;36078325;36079578;36080242;36080998;36081655;36088619	36043061;36078378;36079687;36080367;36081104;36081836;36090525	+;+;+;+;+;+;+	3860	327	227
ENSG00000230978.1	chr21;chr21;chr21;chr21;chr21;chr21	36096105;36096344;36105207;36106258;36106983;36109407	36096251;36096494;36105377;36106338;36107053;36109478	-;-;-;-;-;-	693	0	0
ENSG00000234380.1	chr21;chr21;chr21;chr21	36118054;36120078;36154422;36154878	36118313;36120664;36154487;36157183	+;+;+;+	3219	4	4
ENSG00000159216.14	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	36160098;36171598;36193576;36206707;36228710;36231771;36252854;36259140;36261974;36265222;36421139;36807959;36834259;36837482	36164907;36171759;36193993;36206898;36228744;36231875;36253010;36260987;36262034;36265260;36421641;36811369;36834323;36837627	-;-;-;-;-;-;-;-;-;-;-;-;-;-	11952	1198	941
ENSG00000234703.1	chr21;chr21	36508935;36511034	36509146;36511519	+;+	698	0	1
ENSG00000230794.1	chr21;chr21	37085437;37105201	37085745;37105240	-;-	349	0	0
ENSG00000211590.1	chr21	37093013	37093106	+	94	0	0
ENSG00000267812.1	chr21	37270353	37270727	-	375	0	0
ENSG00000231106.2	chr21;chr21	37377636;37379617	37378163;37380136	+;+	1048	16	10
ENSG00000268098.1	chr21;chr21	37402368;37417766	37402428;37417818	+;+	114	0	0
ENSG00000185917.9	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	37406839;37410448;37412873;37414105;37415984;37417880;37420606;37425881;37429407;37429682;37431114;37432580;37451603	37408549;37410571;37412953;37414186;37416254;37418309;37420694;37425918;37429502;37429775;37432559;37432848;37451687	-;-;-;-;-;-;-;-;-;-;-;-;-	4816	179	116
ENSG00000236677.1	chr21;chr21;chr21	37432730;37435804;37436515	37432919;37435867;37436706	+;+;+	446	0	0
ENSG00000200213.1	chr21	37438843	37438950	+	108	0	0
ENSG00000230212.2	chr21;chr21;chr21;chr21	37441940;37447179;37470422;37498785	37442783;37447265;37470557;37498938	-;-;-;-	1221	2	1
ENSG00000159228.8	chr21;chr21;chr21	37442239;37443248;37444113	37442702;37443881;37445464	+;+;+	2450	622	489
ENSG00000236119.1	chr21;chr21	37455157;37462406	37455197;37462712	+;+	348	0	0
ENSG00000233393.1	chr21;chr21	37477179;37479896	37477421;37481988	+;+	2336	0	0
ENSG00000236830.2	chr21;chr21;chr21;chr21;chr21;chr21	37504065;37505985;37509392;37513694;37518554;37528515	37505372;37506059;37509606;37514244;37518653;37528615	-;-;-;-;-;-	2350	19	13
ENSG00000159231.5	chr21;chr21;chr21	37507210;37510123;37518374	37507779;37510230;37518864	+;+;+	1169	72	73
